Agent,start_date,start_date_formatted,bonus_submission_date,bonus_submission_date_formatted,quality,quality_-1_month,quality_-2_month,productivity,productivity_-1_month,productivity_-2_month,worked_hours,vacation_sick_leave,requalification,false_escalations
Candace Hester,8-Apr-20,2020-04-08,2-Apr-24,2024-04-02,91.11%,96.56%,97.78%,78%,94.78%,70.53%,96.5,32,80,5%
Mark Knox,13-Mar-23,2023-03-13,2-Apr-24,2024-04-02,88.33%,98.89%,81.67%,48%,88.19%,28.72%,102,40,65,8%
Natasha Callahan,1-Dec-20,2020-12-01,2-Apr-24,2024-04-02,86.67%,90.56%,97.78%,129%,94.63%,116.00%,127,40,95,10%
Shelley Bruce,15-Apr-22,2022-04-15,2-Apr-24,2024-04-02,92.22%,96.67%,100.00%,139%,97.89%,139.09%,112,8,90,0%
Jon Pearce,13-Mar-23,2023-03-13,2-Apr-24,2024-04-02,81.67%,97.00%,98.00%,121%,97.67%,138.51%,125,16,95,0%
Trevor Chapman,23-Feb-22,2022-02-23,2-Apr-24,2024-04-02,87.78%,98.00%,98.00%,122%,98.33%,135.53%,137,0,95,0%
Robbie Summers,28-Mar-23,2023-03-28,2-Apr-24,2024-04-02,89.44%,87.00%,97.00%,115%,92.67%,160.17%,124,8,95,0%
Max Beasley,12-Jan-24,2024-01-12,2-Apr-24,2024-04-02,83.33%,98.00%,86.00%,166%,92.00%,79.03%,136,0,95,0%
Ramon Palmer,8-Apr-20,2020-04-08,2-Apr-24,2024-04-02,95.56%,98.00%,96.00%,71%,96.00%,43.70%,48,40,90,0%
Lillian Valdez,1-Oct-23,2023-10-01,2-Apr-24,2024-04-02,92.22%,96.00%,96.00%,99%,95.00%,138.39%,122,0,90,7%
Cecelia Contreras,12-Jan-24,2024-01-12,2-Apr-24,2024-04-02,90.00%,91.00%,79.00%,30%,85.00%,35.71%,75,0,50,0%
Ted Herrera,12-Sep-22,2022-09-12,2-Apr-24,2024-04-02,93.00%,87.00%,99.00%,127%,92.67%,124.01%,96,40,95,0%
Barry Griffin,3-Jun-23,2023-06-03,2-Apr-24,2024-04-02,94.00%,95.00%,99.00%,99%,97.00%,77.71%,64,40,80,25%
Jodi Johnston,3-Jun-23,2023-06-03,2-Apr-24,2024-04-02,91.00%,89.00%,92.00%,125%,91.33%,85.18%,136,0,80,0%
Merle Steward,15-Apr-22,2022-04-15,2-Apr-24,2024-04-02,98.00%,94.00%,90.00%,126%,91.00%,111.38%,146,0,80,0%
Mohammed Gray,12-Dec-22,2022-12-12,2-Apr-24,2024-04-02,87.00%,94.00%,88.00%,131%,91.00%,73.48%,162,0,90,7%
Denise Roy,30-Jan-24,2024-01-30,2-Apr-24,2024-04-02,97.00%,93.00%,0%,114%,93.00%,0.00%,108,40,0,0%
Santos Rollins,10-Jan-22,2022-01-10,2-Apr-24,2024-04-02,95.56%,96.67%,100.00%,99%,97.41%,104.79%,136,0,105,2%
Tomas Shepherd,1-Oct-23,2023-10-01,2-Apr-24,2024-04-02,98.89%,98.89%,97.78%,117%,97.78%,119.34%,160,0,95,0%
Pauline Pittman,3-Jun-23,2023-06-03,2-Apr-24,2024-04-02,92.22%,95.00%,89.44%,59%,92.59%,42.54%,120,40,90,0%
Nellie Solomon,12-Jan-24,2024-01-12,2-Apr-24,2024-04-02,95.56%,97.78%,86.67%,88%,92.23%,65.01%,156,0,35,7%
Bernice Elliott,15-Apr-22,2022-04-15,2-Apr-24,2024-04-02,97.78%,98.89%,96.67%,120%,97.78%,133.19%,160,0,85,0%
Mona Ingram,30-May-22,2022-05-30,2-Apr-24,2024-04-02,98.89%,95.56%,95.56%,140%,96.30%,148.20%,156,0,75,0%
Arthur Wiley,12-Sep-22,2022-09-12,2-Apr-24,2024-04-02,93.33%,94.44%,97.78%,28%,96.67%,33.68%,64,72,45,0%
Alice Stark,19-May-23,2023-05-19,2-Apr-24,2024-04-02,98.89%,95.56%,93.33%,101%,94.82%,106.71%,160,0,80,0%
Crystal Archer,12-Sep-22,2022-09-12,2-Apr-24,2024-04-02,96.67%,96.67%,97.78%,54%,97.41%,101.45%,132,8,75,0%
Rolando Barnes,12-Sep-22,2022-09-12,2-Apr-24,2024-04-02,98.89%,98.89%,90.56%,140%,95.37%,131.90%,187,0,100,9%
Shelby James,13-Mar-23,2023-03-13,2-Apr-24,2024-04-02,91.11%,94.44%,95.56%,124%,95.93%,117.87%,156,8,95,0%
Celeste Decker,30-Jan-24,2024-01-30,2-Apr-24,2024-04-02,68.89%,83.89%,0%,65%,83.89%,0.00%,128,0,0,0%
Charlie McFadden,12-Jan-24,2024-01-12,2-Apr-24,2024-04-02,81.11%,83.33%,97.78%,36%,90.56%,82.65%,142,0,95,0%
