full_name,Shift,Location,Shift + Location,GPIs,RISKs,Subs,total_tickets,total_hours,Tickets Per Hour,Of Average,Qualified?
Natasha Callahan,Night,GE,Night GE,141,0,126,204,31,6.58,129%,Yes
Rachel Lopez,Night,GE,Night GE,209,2,131,276.5,70,3.95,77%,No
Austin McGuire,Night,GE,Night GE,276,25,188,395,53,7.45,146%,Yes
Jon Pearce,Night,GE,Night GE,142,2,244,266,43,6.19,121%,Yes
Mildred Clay,Night,GE,Night GE,283,2,165,367.5,54,6.81,133%,Yes
Trevor Chapman,Night,GE,Night GE,165,0,194,262,42,6.24,122%,Yes
Max Beasley,Night,GE,Night GE,299,1,317,458.5,54,8.49,166%,Yes
Rolando Sears,Morning,GE,Morning GE,217,13,126,293,42,6.98,171%,Yes
Shelley Bruce,Night,GE,Night GE,176,7,118,242,34,7.12,139%,Yes
Melody Francis,Morning,GE,Morning GE,183,0,143,254.5,49,5.19,128%,Yes
Rolando Barnes,Night,GE,Night GE,246,5,227,364.5,51,7.15,140%,Yes
Charlie McFadden,Night,GE,Night GE,100,1,13,107.5,59,1.82,36%,No
Alberta Rowland,Night,GE,Night GE,313,2,267,448.5,62,7.23,142%,Yes
Rosie Elliott,Night,GE,Night GE,185,0,143,256.5,52,4.93,97%,No
Robbie Summers,Night,GE,Night GE,210,4,170,299,51,5.86,115%,Yes
Allison Kent,Morning,GE,Morning GE,225,6,163,312.5,62,5.04,124%,Yes
Fanny Pack,Morning,GE,Morning GE,0,0,0,0,12,0,0%,No
Alexander Clements,Morning,GE,Morning GE,126,13,100,189,28,6.75,166%,Yes
Santos Rollins,Morning,GE,Morning GE,86,10,123,157.5,39,4.04,99%,No
Tomas Shepherd,Morning,GE,Morning GE,194,5,162,280,59,4.75,117%,Yes
Adrienne Delaney,Morning,GE,Morning GE,231,3,258,363,58,6.26,154%,Yes
Carlton Logan,Afternoon,GE,Afternoon GE,231,11,95,289.5,69,4.2,122%,Yes
Brandon Robertson,Morning,GE,Morning GE,85,2,58,116,58,2,49%,No
Pauline Pittman,Morning,GE,Morning GE,44,3,170,132,55,2.4,59%,No
Barry Griffin,Morning,GE,Morning GE,82,1,84,125,31,4.03,99%,No
